Int Pid,Act Pid,Button1, Button2, Button3, Button Answered, Correct Button, got correct, Confidence of Guess,Time when Seen, Time when pressed, Time Difference, HandSize
1,2, 2, 5, 9, 5, 5,True,4,24.36111,27.19338,2.83227,Fitted
1,2, Baseball, Football, Softball, Football, Softball,False,4,35.20833,36.41008,1.201752,Fitted
1,2, Cello, Violin, Guitar, Violin, Violin,True,4,44.25,45.08628,0.8362808,Fitted
1,2, 4, 2, 1, 2, 4,False,4,53.25,53.98023,0.7302284,Fitted
1,2, Secretary, Judge, Truck Driver, Judge, Secretary,False,4,62.5,63.42315,0.9231491,Fitted
1,2, Boxing, Weight lifting, Karate, Weight lifting, Boxing,False,4,71.73611,72.76071,1.024605,Fitted
1,2, 1, 7, 4, 7, 7,True,4,81.18056,83.51576,2.335205,Fitted
1,2, Swimming, Rowing, Kayaking, Rowing, Kayaking,False,4,92.26389,93.34346,1.079567,Fitted
1,2, Tennis, Baseball, Table Tennis, Baseball, Table Tennis,False,4,101.625,102.4889,0.8638992,Fitted
1,2, Monopoly, Gambling, Winning a Race, Gambling, Gambling,True,4,110.5139,111.3647,0.8507996,Fitted
1,2, 2, 7, 9, 7, 7,True,4,119.5833,120.5809,0.9976044,Fitted
1,2, Boat, HorseBack Riding, Segway, HorseBack Riding, Segway,False,4,128.6389,129.391,0.7521057,Fitted
end of phase
1,2, Football, Baseball, Volleyball, Football, Football,True,4,282.875,295.0097,12.1347,Small
1,2, Indiana Jones, Black Mirror, The Office, The Office, Indiana Jones,False,5,382.9445,384.1458,1.201324,Small
1,2, Bobsledding, Ice Skaing, Climbing, Ice Skaing, Ice Skaing,True,3,392.0556,392.9316,0.8760071,Small
1,2, Basketball, Baseball, Golf, Golf, Golf,True,6,401.2083,402.1102,0.901886,Small
1,2, Swimming, Kayaking, Pitcher, Kayaking, Swimming,False,5,410.3472,411.91,1.562805,Small
1,2, Guitar, Triangle, Ukelele, Triangle, Ukelele,False,4,420.3611,421.6347,1.27359,Small
1,2, 6, 3, 8, 3, 3,True,3,430.25,431.4789,1.228912,Small
1,2, 4, 9, 7, 9, 7,False,2,439.6389,442.7379,3.09903,Small
1,2, Rhino, Swan, Sloth, Rhino, Sloth,False,3,451.2222,453.4485,2.226288,Small
1,2, Construction Worker, Flight Attendant, Nurse, Flight Attendant, Nurse,False,2,461.9583,464.8144,2.856079,Small
1,2, 3, 9, 5, 9, 9,True,5,473.6528,474.9339,1.281097,Small
1,2, Steak, Lasagna, Spaghetti, Spaghetti, Steak,False,4,483.2778,484.6931,1.415314,Small
end of phase
1,2, Rabbit, Frog, Mouse, Rabbit, Frog,False,2,650.2778,665.7361,15.45831,Large
1,2, Snowboarding, Gymnastics, Skiing, Skiing, Snowboarding,False,1,675.125,676.1168,0.9918213,Large
1,2, Harmonica, Trombone, Kazoo, Trombone, Harmonica,False,4,689.4028,693.4722,4.069458,Large
1,2, 5, 3, 1, 3, 1,False,4,703.7083,711.0145,7.306213,Large
1,2, 4, 1, 6, 1, 6,False,4,720.1111,722.1348,2.023743,Large
1,2, 5, 2, 3, 2, 5,False,5,730.4167,732.3501,1.933411,Large
1,2, 7, 9, 3, 9, 9,True,5,740.3611,742.6365,2.275391,Large
1,2, 6, 8, 7, 8, 8,True,4,751.5972,753.1067,1.50946,Large
1,2, Motorcycle, Plane, Car, Plane, Motorcycle,False,5,761.1945,761.848,0.6535034,Large
1,2, Baseball, Golf, Tennis, Golf, Baseball,False,2,770.0695,770.9068,0.8372803,Large
1,2, Flute, Trumpet, Clarinet, Clarinet, Clarinet,True,3,779.125,780.2011,1.076111,Large
1,2, Diving, Kayaking, Swimming, Kayaking, Diving,False,4,788.9167,789.5479,0.6312256,Large
end of phase
