Int Pid,Act Pid,Button1, Button2, Button3, Button Answered, Correct Button, got correct, Confidence of Guess,Time when Seen, Time when pressed, Time Difference, HandSize
1,2, Trombone, Harmonica, Kazoo, Harmonica, Harmonica,True,6,231.625,298.3909,66.7659,Fitted
1,2, Golf, Basketball, Baseball, Golf, Golf,True,7,307.1528,323.2368,16.08398,Fitted
1,2, Secretary, Truck Driver, Judge, Secretary, Secretary,True,5,332.1389,351.0768,18.93793,Fitted
1,2, Baseball, Football, Softball, Softball, Softball,True,5,361.4722,381.7019,20.22971,Fitted
1,2, 6, 3, 8, 3, 3,True,7,391.2639,394.806,3.542114,Fitted
1,2, 1, 3, 5, 1, 1,True,7,403.3056,408.0117,4.706085,Fitted
1,2, 2, 3, 5, 5, 5,True,7,416.1945,419.2568,3.062317,Fitted
1,2, Cello, Violin, Guitar, Violin, Violin,True,7,429.0417,434.9255,5.88382,Fitted
1,2, Construction Worker, Flight Attendant, Nurse, Nurse, Nurse,True,4,444.0417,460.8728,16.83112,Fitted
1,2, Gymnastics, Skiing, Snowboarding, Snowboarding, Snowboarding,True,3,470.0695,499.7524,29.68292,Fitted
1,2, Swimming, Kayaking, Diving, Diving, Diving,True,5,508.6389,525.7772,17.13834,Fitted
1,2, Lasagna, Spaghetti, Steak, Steak, Steak,True,5,534.2917,552.0932,17.80151,Fitted
end of phase
1,2, 5, 9, 2, 5, 5,True,6,786.3055,797.066,10.7605,Small
1,2, 8, 7, 6, 8, 8,True,7,806.2222,810.7321,4.509888,Small
1,2, 2, 1, 4, 4, 4,True,7,818.4722,821.2098,2.737549,Small
1,2, 9, 7, 3, 9, 9,True,7,828.9445,833.7567,4.812195,Small
1,2, 9, 3, 5, 9, 9,True,7,841.5972,845.6736,4.076355,Small
1,2, 7, 2, 9, 7, 7,True,7,853.6805,857.1078,3.427307,Small
1,2, Kayaking, Rowing, Swimming, Kayaking, Kayaking,True,6,865.2083,875.1273,9.919006,Small
1,2, Pitcher, Swimming, Kayaking, Swimming, Swimming,True,7,883.0139,886.5826,3.568665,Small
1,2, Winning a Race, Gambling, Monopoly, Gambling, Gambling,True,7,894.9167,900.1745,5.257813,Small
1,2, Ice Skaing, Climbing, Bobsledding, Ice Skaing, Ice Skaing,True,5,907.9722,921.5535,13.5813,Small
1,2, 6, 4, 1, 6, 6,True,7,929.6667,933.175,3.508301,Small
1,2, 7, 9, 4, 7, 7,True,7,941.0278,944.0852,3.057434,Small
end of phase
1,2, 4, 1, 7, 7, 7,True,6,1080.889,1087.747,6.85791,Large
1,2, Volleyball, Baseball, Football, Baseball, Football,False,5,1097.403,1107.516,10.11304,Large
1,2, Karate, Boxing, Weight lifting, Boxing, Boxing,True,6,1116.889,1146.636,29.74695,Large
1,2, Tennis, Baseball, Golf, Baseball, Baseball,True,6,1154.667,1162.031,7.364014,Large
1,2, Rhino, Sloth, Swan, Sloth, Sloth,True,7,1170.944,1176.694,5.75,Large
1,2, Frog, Rabbit, Mouse, Frog, Frog,True,3,1185.25,1202.594,17.34399,Large
1,2, Black Mirror, Indiana Jones, The Office, Indiana Jones, Indiana Jones,True,6,1211.5,1226.825,15.32495,Large
1,2, Tennis, Baseball, Table Tennis, Table Tennis, Table Tennis,True,6,1235.347,1243.192,7.844971,Large
1,2, Motorcycle, Car, Plane, Motorcycle, Motorcycle,True,6,1251.306,1256.279,4.973022,Large
1,2, HorseBack Riding, Boat, Segway, Segway, Segway,True,6,1264.569,1282.104,17.53503,Large
1,2, Trumpet, Flute, Clarinet, Flute, Clarinet,False,3,1291.792,1298.062,6.27002,Large
1,2, Triangle, Ukelele, Guitar, Ukelele, Ukelele,True,5,1307.917,1314.644,6.727051,Large
end of phase
